country_id,country_code,country,population,age_0_to_14,age_15_to_24,age_25_to_49,age_50_to_64,age_65_to_79,age_80_to_max
AL,ALB,Albania,2862427,20.2,17.7,32.3,17.9,9.8,2.1
AD,AND,Andorra,76177,14.9,10.1,43.8,18.6,8.7,3.9
AM,ARM,Armenia,2963234,19.4,15.3,36.6,17.6,8.7,2.3
AT,AUT,Austria,8858775,14.6,11.9,35.7,19.8,13.2,4.9
AZ,AZE,Azerbaijan,10139175,22.5,17.9,38.7,14.7,5.1,1.1
BY,BLR,Belarus,9449321,15.7,12.5,36.9,20.5,10.9,3.5
BE,BEL,Belgium,11455519,17.0,11.9,33.8,19.6,12.6,5.2
BG,BGR,Bulgaria,7000039,13.7,10.7,35.2,21.0,15.1,4.3
HR,HRV,Croatia,4076246,14.9,11.6,33.7,21.1,14.3,4.4
CY,CYP,Cyprus,875899,16.7,14.7,36.9,17.7,10.8,3.1
CZ,CZE,Czechia,10649800,15.0,11.0,37.0,20.1,13.2,3.8
DK,DNK,Denmark,5806081,17.4,12.6,32.8,19.4,13.6,4.2
EE,EST,Estonia,1324820,15.7,11.7,34.8,19.5,13.6,4.7
FI,FIN,Finland,5517919,16.4,12.0,31.7,20.9,14.1,5.0
FR,FRA,France,67012883,18.5,12.1,32.4,19.2,12.3,5.6
GE,GEO,Georgia,3989175,18.1,14.1,35.3,18.3,11.0,3.2
DE,DEU,Germany,83019213,13.4,10.9,33.8,21.0,15.4,5.5
EL,GRC,Greece,10724599,14.5,10.7,35.5,19.0,14.5,5.8
HU,HUN,Hungary,9772756,14.6,11.8,35.7,20.3,13.4,4.1
IS,ISL,Iceland,356991,20.3,14.4,34.6,17.7,9.5,3.5
IE,IRL,Ireland,4904240,21.1,12.8,37.3,16.4,9.4,3.0
IT,ITA,Italy,60359546,13.8,9.9,34.9,20.0,15.0,6.3
LV,LVA,Latvia,1919968,14.8,11.9,34.4,19.9,14.3,4.6
LI,LIE,Liechtenstein,38378,15.5,11.8,35.9,21.5,11.8,3.3
LT,LTU,Lithuania,2794184,14.9,13.2,33.6,19.9,13.6,4.8
LU,LUX,Luxembourg,613894,17.0,11.9,38.4,18.6,10.3,3.8
MT,MLT,Malta,493559,14.7,12.8,35.1,20.6,13.2,3.7
MD,MDA,Moldova,4033963,16.5,16.7,37.9,18.7,8.2,2.1
ME,MNE,Montenegro,622182,18.8,13.7,34.6,19.3,11.0,2.6
NL,NLD,Netherlands,17282163,17.0,12.2,33.5,20.4,12.8,4.2
MK,MKD,North Macedonia,2077132,17.2,14.3,37.3,18.8,10.3,2.1
NO,NOR,Norway,5328212,18.3,12.9,34.6,18.4,11.4,4.4
PL,POL,Poland,37972812,15.2,12.7,36.4,20.7,11.2,3.8
PT,PRT,Portugal,10276617,14.6,10.8,35.1,19.7,14.3,5.4
RO,ROU,Romania,19414458,15.7,11.7,36.3,19.5,12.9,3.9
RU,RUS,Russia,145934460,15.2,14.5,37.5,19.6,10.4,2.8
SM,SMR,San Marino,34453,14.8,9.2,37.0,20.8,12.8,5.4
RS,SRB,Serbia,6963764,14.6,11.5,33.9,21.8,14.4,3.9
SK,SVK,Slovakia,5450421,15.5,12.8,38.1,19.9,10.7,3.0
SI,SVN,Slovenia,2080908,14.5,10.5,36.2,21.1,13.1,4.5
ES,ESP,Spain,46937060,15.0,10.1,38.3,18.7,12.4,5.5
SE,SWE,Sweden,10230185,17.1,12.5,32.8,18.5,13.8,5.2
CH,CHE,Switzerland,8544527,15.0,11.5,36.2,19.8,12.5,4.9
TR,TUR,Turkey,82003882,24.8,16.7,37.2,13.6,6.2,1.5
UA,UKR,Ukraine,43733759,14.8,12.3,37.1,20.0,12.3,3.5
UK,GBR,United Kingdom,66647112,17.7,12.7,34.0,18.4,12.5,4.7
