cases_deaths_id,country_id,date_id,confirmend_cases,source
0,AL,20200102,0,"Epidemic intelligence, national daily data"
1,AL,20200102,0,"Epidemic intelligence, national daily data"
2,AD,20200102,0,"Epidemic intelligence, national daily data"
3,AD,20200102,0,"Epidemic intelligence, national daily data"
4,AM,20200102,0,"Epidemic intelligence, national daily data"
5,AM,20200102,0,"Epidemic intelligence, national daily data"
6,AT,20200102,0,"Epidemic intelligence, national daily data"
7,AT,20200102,0,"Epidemic intelligence, national daily data"
8,AZ,20200102,0,"Epidemic intelligence, national daily data"
9,AZ,20200102,0,"Epidemic intelligence, national daily data"
10,BY,20200102,0,"Epidemic intelligence, national daily data"
11,BY,20200102,0,"Epidemic intelligence, national daily data"
12,BE,20200102,0,"Epidemic intelligence, national daily data"
13,BE,20200102,0,"Epidemic intelligence, national daily data"
14,BA,20200102,0,"Epidemic intelligence, national daily data"
15,BA,20200102,0,"Epidemic intelligence, national daily data"
16,BG,20200102,0,"Epidemic intelligence, national daily data"
17,BG,20200102,0,"Epidemic intelligence, national daily data"
18,HR,20200102,0,"Epidemic intelligence, national daily data"
19,HR,20200102,0,"Epidemic intelligence, national daily data"
20,CY,20200102,0,"Epidemic intelligence, national daily data"
21,CY,20200102,0,"Epidemic intelligence, national daily data"
22,CZ,20200102,0,"Epidemic intelligence, national daily data"
23,CZ,20200102,0,"Epidemic intelligence, national daily data"
24,DK,20200102,0,"Epidemic intelligence, national daily data"
25,DK,20200102,0,"Epidemic intelligence, national daily data"
26,EE,20200102,0,"Epidemic intelligence, national daily data"
27,EE,20200102,0,"Epidemic intelligence, national daily data"
32,FI,20200102,0,"Epidemic intelligence, national daily data"
33,FI,20200102,0,"Epidemic intelligence, national daily data"
34,FR,20200102,0,"Epidemic intelligence, national daily data"
35,FR,20200102,0,"Epidemic intelligence, national daily data"
36,GE,20200102,0,"Epidemic intelligence, national daily data"
37,GE,20200102,0,"Epidemic intelligence, national daily data"
38,DE,20200102,0,"Epidemic intelligence, national daily data"
39,DE,20200102,0,"Epidemic intelligence, national daily data"
40,GI,20200102,0,"Epidemic intelligence, national daily data"
41,GI,20200102,0,"Epidemic intelligence, national daily data"
42,EL,20200102,0,"Epidemic intelligence, national daily data"
43,EL,20200102,0,"Epidemic intelligence, national daily data"
44,GG,20200102,0,"Epidemic intelligence, national daily data"
45,GG,20200102,0,"Epidemic intelligence, national daily data"
46,HU,20200102,0,"Epidemic intelligence, national daily data"
47,HU,20200102,0,"Epidemic intelligence, national daily data"
48,IS,20200102,0,"Epidemic intelligence, national daily data"
49,IS,20200102,0,"Epidemic intelligence, national daily data"
50,IE,20200102,0,"Epidemic intelligence, national daily data"
51,IE,20200102,0,"Epidemic intelligence, national daily data"
54,IT,20200102,0,"Epidemic intelligence, national daily data"
55,IT,20200102,0,"Epidemic intelligence, national daily data"
56,JE,20200102,0,"Epidemic intelligence, national daily data"
57,JE,20200102,0,"Epidemic intelligence, national daily data"
60,LV,20200102,0,"Epidemic intelligence, national daily data"
61,LV,20200102,0,"Epidemic intelligence, national daily data"
62,LI,20200102,0,"Epidemic intelligence, national daily data"
63,LI,20200102,0,"Epidemic intelligence, national daily data"
64,LT,20200102,0,"Epidemic intelligence, national daily data"
65,LT,20200102,0,"Epidemic intelligence, national daily data"
66,LU,20200102,0,"Epidemic intelligence, national daily data"
67,LU,20200102,0,"Epidemic intelligence, national daily data"
68,MT,20200102,0,"Epidemic intelligence, national daily data"
69,MT,20200102,0,"Epidemic intelligence, national daily data"
70,MD,20200102,0,"Epidemic intelligence, national daily data"
71,MD,20200102,0,"Epidemic intelligence, national daily data"
72,MC,20200102,0,"Epidemic intelligence, national daily data"
73,MC,20200102,0,"Epidemic intelligence, national daily data"
74,ME,20200102,0,"Epidemic intelligence, national daily data"
75,ME,20200102,0,"Epidemic intelligence, national daily data"
76,NL,20200102,0,"Epidemic intelligence, national daily data"
77,NL,20200102,0,"Epidemic intelligence, national daily data"
78,MK,20200102,0,"Epidemic intelligence, national daily data"
79,MK,20200102,0,"Epidemic intelligence, national daily data"
80,NO,20200102,0,"Epidemic intelligence, national daily data"
81,NO,20200102,0,"Epidemic intelligence, national daily data"
82,PL,20200102,0,"Epidemic intelligence, national daily data"
83,PL,20200102,0,"Epidemic intelligence, national daily data"
84,PT,20200102,0,"Epidemic intelligence, national daily data"
85,PT,20200102,0,"Epidemic intelligence, national daily data"
86,RO,20200102,0,"Epidemic intelligence, national daily data"
87,RO,20200102,0,"Epidemic intelligence, national daily data"
88,RU,20200102,0,"Epidemic intelligence, national daily data"
89,RU,20200102,0,"Epidemic intelligence, national daily data"
90,SM,20200102,0,"Epidemic intelligence, national daily data"
91,SM,20200102,0,"Epidemic intelligence, national daily data"
92,RS,20200102,0,"Epidemic intelligence, national daily data"
93,RS,20200102,0,"Epidemic intelligence, national daily data"
94,SK,20200102,0,"Epidemic intelligence, national daily data"
95,SK,20200102,0,"Epidemic intelligence, national daily data"
96,SI,20200102,0,"Epidemic intelligence, national daily data"
97,SI,20200102,0,"Epidemic intelligence, national daily data"
98,ES,20200102,0,"Epidemic intelligence, national daily data"
99,ES,20200102,0,"Epidemic intelligence, national daily data"
100,SE,20200102,0,"Epidemic intelligence, national daily data"
101,SE,20200102,0,"Epidemic intelligence, national daily data"
102,CH,20200102,0,"Epidemic intelligence, national daily data"
103,CH,20200102,0,"Epidemic intelligence, national daily data"
104,VA,20200102,0,"Epidemic intelligence, national daily data"
105,VA,20200102,0,"Epidemic intelligence, national daily data"
106,TR,20200102,0,"Epidemic intelligence, national daily data"
107,TR,20200102,0,"Epidemic intelligence, national daily data"
108,UA,20200102,0,"Epidemic intelligence, national daily data"
109,UA,20200102,0,"Epidemic intelligence, national daily data"
110,UK,20200102,0,"Epidemic intelligence, national daily data"
111,UK,20200102,0,"Epidemic intelligence, national daily data"
112,AL,20200103,0,"Epidemic intelligence, national daily data"
113,AL,20200103,0,"Epidemic intelligence, national daily data"
114,AD,20200103,0,"Epidemic intelligence, national daily data"
115,AD,20200103,0,"Epidemic intelligence, national daily data"
116,AM,20200103,0,"Epidemic intelligence, national daily data"
117,AM,20200103,0,"Epidemic intelligence, national daily data"
118,AT,20200103,0,"Epidemic intelligence, national daily data"
119,AT,20200103,0,"Epidemic intelligence, national daily data"
120,AZ,20200103,0,"Epidemic intelligence, national daily data"
121,AZ,20200103,0,"Epidemic intelligence, national daily data"
122,BY,20200103,0,"Epidemic intelligence, national daily data"
123,BY,20200103,0,"Epidemic intelligence, national daily data"
124,BE,20200103,0,"Epidemic intelligence, national daily data"
125,BE,20200103,0,"Epidemic intelligence, national daily data"
126,BA,20200103,0,"Epidemic intelligence, national daily data"
127,BA,20200103,0,"Epidemic intelligence, national daily data"
128,BG,20200103,0,"Epidemic intelligence, national daily data"
129,BG,20200103,0,"Epidemic intelligence, national daily data"
130,HR,20200103,0,"Epidemic intelligence, national daily data"
131,HR,20200103,0,"Epidemic intelligence, national daily data"
132,CY,20200103,0,"Epidemic intelligence, national daily data"
133,CY,20200103,0,"Epidemic intelligence, national daily data"
134,CZ,20200103,0,"Epidemic intelligence, national daily data"
135,CZ,20200103,0,"Epidemic intelligence, national daily data"
136,DK,20200103,0,"Epidemic intelligence, national daily data"
137,DK,20200103,0,"Epidemic intelligence, national daily data"
138,EE,20200103,0,"Epidemic intelligence, national daily data"
139,EE,20200103,0,"Epidemic intelligence, national daily data"
144,FI,20200103,0,"Epidemic intelligence, national daily data"
145,FI,20200103,0,"Epidemic intelligence, national daily data"
146,FR,20200103,0,"Epidemic intelligence, national daily data"
